Team,P,W,D,L,GF,GA,GD,PTS
Man United,717,443,150,124,1335,831,504,1479
Chelsea,717,431,154,132,1328,847,481,1447
Arsenal,717,400,174,143,1352,875,477,1374
Liverpool,718,391,173,154,1283,825,458,1346
Man City,718,370,143,205,1291,881,410,1253
Tottenham,718,338,169,211,1132,845,287,1183
Everton,717,281,203,233,962,768,194,1046
Newcastle,640,213,163,264,774,694,80,802
Aston Villa,604,184,182,238,709,685,24,734
West Ham,608,188,157,263,738,725,13,721
Southampton,452,147,131,174,554,508,46,572
Fulham,489,144,127,218,555,530,25,559
Blackburn,375,128,97,150,460,421,39,481
Sunderland,494,117,129,248,491,541,-50,480
Bolton,376,122,95,159,446,416,30,461
West Brom,451,111,126,214,471,513,-42,459
Stoke,380,116,109,155,398,363,35,457
Leicester,304,111,75,118,423,373,50,408
Middlesbrough,337,93,99,145,372,355,17,378
Crystal Palace,300,91,66,143,332,354,-22,339
Wigan,304,85,76,143,316,362,-46,331
Swansea,266,82,66,118,306,297,9,312
Portsmouth,262,78,64,120,287,265,22,298
Birmingham,262,71,81,110,268,248,20,294
Charlton,224,75,55,94,261,249,12,280
Wolves,228,63,63,102,254,284,-30,252
Burnley,228,66,53,109,233,247,-14,251
Watford,228,61,55,112,241,261,-20,238
Bournemouth,190,56,43,91,241,253,-12,211
Norwich,224,49,59,116,223,248,-25,206
Hull,190,41,48,101,181,219,-38,171
Leeds,114,42,22,50,162,154,8,148
Reading,114,32,23,59,136,143,-7,119
Brighton,114,27,36,51,108,125,-17,117
Sheffield United,76,24,20,32,71,59,12,92
QPR,114,22,26,66,115,132,-17,92
Ipswich,38,20,6,12,57,41,16,66
Cardiff,76,17,13,46,66,98,-32,64
Huddersfield,76,12,17,47,50,80,-30,53
Derby,76,11,20,45,57,89,-32,53
Blackpool,38,10,9,19,55,62,-7,39
Coventry,38,8,10,20,36,45,-9,34
Bradford,38,5,11,22,30,39,-9,26
