position,age,nationality
Goalkeeper,24,England
Goalkeeper,24,Romania
Goalkeeper,30,England
Centre-Back,25,Belgium
Centre-Back,30,Cote d'Ivoire
Centre-Back,28,England
Centre-Back,24,England
Centre-Back,20,Montenegro
Centre-Back,20,Belgium
Centre-Back,16,Netherlands
Left-Back,25,Serbia
Left-Back,25,France
Left-Back,30,England
Left-Back,20,Ghana
Right-Back,26,Argentina
Right-Back,23,England
Defensive Midfield,26,Netherlands
Defensive Midfield,30,England
Defensive Midfield,30,England
Defensive Midfield,23,England
Central Midfield,28,Cote d'Ivoire
Central Midfield,25,England
Central Midfield,31,Chile
Central Midfield,17,Spain
Central Midfield,18,Cote d'Ivoire
Attacking Midfield,25,Spain
Attacking Midfield,24,France
Left Winger,20,Italy
Left Winger,18,Spain
Right Winger,23,England
Right Winger,29,England
Second Striker,27,Argentina
Centre-Forward,23,Argentina
Centre-Forward,25,Bosnia-Herzegovina
Centre-Forward,20,Italy
Centre-Forward,27,Togo
