,Pos,Date of Birth,Birth Place
0,G,19-09-63,Rotherham
1,D,17-03-64,Manchester
2,D,21-01-76,Orge
3,M,23-06-76,Dakar
4,D,24-07-66,Oxford
5,D,10-10-66,Romford
6,M,29-01-73,Reims
7,M,16-04-77,Halmstad
8,,,
9,F,18-05-69,Amsterdam
10,F,10-05-74,Neuilly-sur-Marne
11,D,19-01-77,Les Ulysses
12,G,04-06-77,Salzburg
13,F,17-08-77,Paris
14,M,07-03-73,Romford
15,D,12-04-74,S?o Paulo
16,M,15-05-78,S?o Paulo
17,D,11-11-70,Gap
18,M,15-06-72,Ludwigshafen
19,D,18-04-79,Eye
20,F,18-07-78,Moscow
21,D,05-08-68,Kiev
22,D,18-10-69,San Nicolas
23,G,11-12-60,Chesterfield
24,F,01-08-76,Owerri
25,,,
26,,,
27,F,06-10-81,Dublin
28,D,20-12-80,Stepney
29,,,
30,G,28-11-80,Romford
31,,,
32,,,
33,,,
34,D,21-01-83,Siegen
35,M,15-01-83,Nottingham
36,,,
37,M,24-10-74,Nurnberg
38,,,
39,D,14-03-81,Ealing
40,D,06-10-81,Chelmsford
41,D,14-02-82,Islington
42,D,23-03-80,Cheshunt
43,D,03-10-81,Maldon
44,F,17-11-81,Edmonton
45,G,26-09-81,Hampstead
46,M,02-02-82,Hitchin
47,D,15-01-83,Hvidovre
48,,,
49,Pos,Date of Birth,Birth Place
50,D,27-10-80,Kingston
51,M,01-11-79,Islington
52,F,14-05-75,Monorovia
53,M,09-11-80,Chelmsford
54,,,
