position,age,nationality
Goalkeeper,24,Poland
Goalkeeper,25,Colombia
Goalkeeper,21,Argentina
Goalkeeper,19,England
Goalkeeper,17,England
Centre-Back,29,Germany
Centre-Back,28,France
Centre-Back,19,England
Centre-Back,23,Brazil
Centre-Back,21,Spain
Centre-Back,20,Nigeria
Centre-Back,17,England
Left-Back,24,England
Left-Back,28,Spain
Right-Back,28,France
Right-Back,22,England
Right-Back,19,Spain
Defensive Midfield,30,France
Defensive Midfield,23,France
Defensive Midfield,19,England
Defensive Midfield,18,Finland
Central Midfield,22,England
Central Midfield,29,Spain
Central Midfield,23,Wales
Central Midfield,20,England
Central Midfield,32,Spain
Central Midfield,28,France
Central Midfield,17,United States
Right Midfield,16,England
Attacking Midfield,25,Germany
Attacking Midfield,33,Czech Republic
Left Winger,25,Chile
Left Winger,18,Nigeria
Right Winger,25,England
Right Winger,22,Costa Rica
Right Winger,18,Germany
Right Winger,21,Brazil
Second Striker,29,Germany
Centre-Forward,27,France
Centre-Forward,23,England
Centre-Forward,21,France
Centre-Forward,18,England
