,Pos,Date of Birth,Birth Place
0,G,01-08-70,Welwyn
1,D,13-05-76,Haverfordwest
2,D,28-09-71,Ashton-u-Lyme
3,D,03-09-70,Watford
4,,,
5,M,05-09-75,Nkawkaw
6,M,04-06-68,Birmingham
7,F,24-10-75,Medellin
8,F,22-04-69,Leicester
9,F,20-03-68,Northolt
10,D,19-01-69,Drogheda
11,F,20-09-74,Boston
12,G,03-09-76,Birmingham
13,M,25-01-67,Gassin
14,D,23-02-81,Hastings
15,D,29-05-73,Izmir
16,M,18-05-77,Birmingham
17,M,20-08-71,Gateshead
18,F,08-11-77,Birmingham
19,,,
20,M,05-04-82,Munich
21,F,13-06-80,Birmingham
22,D,30-01-74,Nazareth
23,M,27-03-80,Limerick
24,,,
25,,,
26,M,20-03-81,Shoreham
27,M,09-07-81,Londonderry
28,M,15-02-83,Walsall
29,M,10-09-82,Kettering
30,D,29-03-81,Trinidad
31,,,
32,,,
33,,,
34,F,24-06-79,Darlington
35,,,
36,,,
37,,,
38,G,10-03-77,Turku
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,M,22-12-73,Newcastle
43,M,02-12-78,Birmingham
44,D,03-11-72,Hackney
45,G,05-10-80,Burton
46,F,09-06-71,Brussels
47,F,25-05-67,Hasselt
48,,,
