position,age,nationality
Goalkeeper,29,United States
Goalkeeper,21,England
Goalkeeper,38,Ireland
Centre-Back,29,Netherlands
Centre-Back,21,Denmark
Centre-Back,24,Ireland
Centre-Back,23,England
Centre-Back,29,Switzerland
Left-Back,26,France
Left-Back,29,England
Left-Back,24,England
Left-Back,23,Ireland
Left-Back,19,England
Left-Back,18,England
Right-Back,25,England
Right-Back,29,Scotland
Defensive Midfield,24,England
Defensive Midfield,28,Colombia
Defensive Midfield,25,Australia
Central Midfield,24,England
Central Midfield,24,England
Central Midfield,29,Morocco
Central Midfield,22,Curacao
Central Midfield,22,England
Left Midfield,25,England
Attacking Midfield,21,Spain
Attacking Midfield,32,England
Attacking Midfield,18,England
Left Winger,19,Ireland
Left Winger,15,England
Right Winger,22,Austria
Right Winger,28,France
Second Striker,20,Ireland
Centre-Forward,23,Belgium
Centre-Forward,27,England
Centre-Forward,30,England
Centre-Forward,25,Czech Republic
Centre-Forward,15,England
