position,age,nationality
Goalkeeper,19,Ireland
Goalkeeper,34,Belgium
Goalkeeper,32,Northern Ireland
Centre-Back,19,England
Centre-Back,19,Northern Ireland
Centre-Back,18,England
Centre-Back,19,England
Centre-Back,28,Cote d'Ivoire
Centre-Back,33,Ireland
Centre-Back,25,England
Centre-Back,24,England
Left-Back,28,England
Right-Back,27,Netherlands
Midfielder,19,England
Defensive Midfield,27,Senegal
Defensive Midfield,25,Tunisia
Central Midfield,29,Wales
Central Midfield,25,Northern Ireland
Central Midfield,20,England
Right Midfield,18,England
Right Midfield,29,Turkey
Right Midfield,26,England
Right Midfield,32,England
Left Midfield,31,Australia
Attacking Midfield,24,England
Left Winger,26,Denmark
Right Winger,21,England
Second Striker,28,England
Centre-Forward,19,Scotland
Centre-Forward,21,Finland
Centre-Forward,28,Uruguay
Centre-Forward,23,Finland
Centre-Forward,27,Trinidad and Tobago
Centre-Forward,26,England
Centre-Forward,25,Ireland
Centre-Forward,24,England
Centre-Forward,32,Trinidad and Tobago
