position,age,nationality
Goalkeeper,27,Finland
Goalkeeper,22,United States
Goalkeeper,33,United States
Centre-Back,26,Australia
Centre-Back,33,Italy
Centre-Back,36,England
Centre-Back,23,South Africa
Centre-Back,29,England
Centre-Back,19,Scotland
Centre-Back,26,New Zealand
Left-Back,24,Sweden
Left-Back,30,Scotland
Left-Back,26,Slovakia
Left-Back,29,England
Right-Back,23,Ireland
Defensive Midfield,33,Turkey
Defensive Midfield,26,Scotland
Central Midfield,31,England
Central Midfield,29,Wales
Central Midfield,22,Norway
Central Midfield,19,Scotland
Central Midfield,22,Ireland
Right Midfield,25,Australia
Right Midfield,26,England
Left Midfield,20,Scotland
Left Midfield,30,Spain
Attacking Midfield,19,Scotland
Attacking Midfield,36,France
Right Winger,19,United States
Centre-Forward,21,England
Centre-Forward,31,Scotland
Centre-Forward,32,Trinidad and Tobago
Centre-Forward,26,England
Centre-Forward,22,England
Centre-Forward,18,England
