position,age,nationality
Goalkeeper,29.0,England
Goalkeeper,32.0,Ghana
Goalkeeper,28.0,Scotland
Goalkeeper,20.0,England
Goalkeeper,17.0,Scotland
Defender,,England
Centre-Back,27.0,Wales
Centre-Back,28.0,England
Centre-Back,21.0,England
Centre-Back,21.0,Northern Ireland
Centre-Back,25.0,Israel
Centre-Back,19.0,England
Centre-Back,17.0,Ireland
Left-Back,29.0,Scotland
Left-Back,24.0,Morocco
Left-Back,17.0,England
Right-Back,24.0,England
Right-Back,21.0,Wales
Right-Back,28.0,England
Midfielder,,Belgium
Defensive Midfield,27.0,Wales
Central Midfield,24.0,Scotland
Central Midfield,26.0,France
Central Midfield,29.0,England
Central Midfield,21.0,France
Central Midfield,19.0,Scotland
Central Midfield,17.0,England
Right Midfield,17.0,England
Left Midfield,27.0,Ireland
Attacking Midfield,24.0,England
Attacking Midfield,22.0,Ireland
Left Winger,27.0,England
Left Winger,26.0,Australia
Left Winger,22.0,England
Right Winger,29.0,England
Right Winger,19.0,Scotland
Right Winger,22.0,France
Right Winger,16.0,England
Second Striker,33.0,Jamaica
Centre-Forward,32.0,England
Centre-Forward,30.0,England
Centre-Forward,33.0,England
Centre-Forward,27.0,Belarus
Centre-Forward,28.0,England
Centre-Forward,18.0,England
