position,age,nationality
Goalkeeper,35.0,Finland
Goalkeeper,28.0,Oman
Goalkeeper,22.0,Hungary
Goalkeeper,20.0,England
Centre-Back,24.0,England
Centre-Back,23.0,England
Centre-Back,30.0,England
Centre-Back,31.0,Ireland
Centre-Back,31.0,England
Left-Back,31.0,Jamaica
Left-Back,19.0,Spain
Right-Back,28.0,Iceland
Right-Back,28.0,Wales
Right-Back,24.0,Ireland
Defensive Midfield,30.0,England
Defensive Midfield,29.0,Trinidad and Tobago
Central Midfield,22.0,England
Central Midfield,26.0,Israel
Central Midfield,22.0,England
Central Midfield,24.0,United States
Central Midfield,16.0,England
Left Midfield,28.0,England
Attacking Midfield,21.0,"Korea, South"
Left Winger,31.0,Bulgaria
Left Winger,20.0,England
Right Winger,19.0,Scotland
Second Striker,34.0,England
Centre-Forward,29.0,Sweden
Centre-Forward,30.0,Croatia
Centre-Forward,33.0,England
Centre-Forward,20.0,England
Centre-Forward,19.0,England
Centre-Forward,18.0,England
Centre-Forward,19.0,Spain
