position,age,nationality
Goalkeeper,35,Poland
Goalkeeper,30,Australia
Goalkeeper,23,England
Goalkeeper,18,Lithuania
Goalkeeper,18,Australia
Centre-Back,22,England
Centre-Back,24,England
Centre-Back,30,England
Centre-Back,27,England
Centre-Back,37,France
Centre-Back,28,Guadeloupe
Centre-Back,19,England
Centre-Back,18,England
Centre-Back,16,England
Left-Back,25,England
Left-Back,28,England
Left-Back,27,Wales
Left-Back,20,Italy
Left-Back,19,England
Right-Back,30,England
Right-Back,24,England
Right-Back,18,England
Defensive Midfield,18,England
Central Midfield,25,England
Central Midfield,25,Ireland
Central Midfield,28,England
Central Midfield,24,Ireland
Central Midfield,27,Wales
Central Midfield,21,England
Right Midfield,25,Scotland
Left Winger,27,Cote d'Ivoire
Left Winger,23,Ghana
Left Winger,28,England
Left Winger,25,England
Left Winger,21,Scotland
Right Winger,22,Paraguay
Right Winger,20,England
Right Winger,20,England
Second Striker,26,England
Second Striker,23,Norway
Centre-Forward,23,England
Centre-Forward,27,Jamaica
Centre-Forward,31,England
Centre-Forward,24,South Africa
Centre-Forward,22,DR Congo
Centre-Forward,33,France
Centre-Forward,21,England
Centre-Forward,18,Ireland
Centre-Forward,16,England
