,Pos,Date of Birth,Birth Place
0,G,21-03-68,Wigan
1,D,09-07-70,Liverpool
2,D,03-11-73,Hounslow
3,M,10-06-64,Leeds
4,D,14-03-71,Sheffield
5,M,19-12-73,Manchester
6,M,08-03-70,Balham
7,F,04-03-76,Middlesbrough
8,F,24-11-70,Manchester
9,F,14-08-71,Begnara
10,,,
11,D,27-02-69,Zaandam
12,G,03-11-73,Sheffield
13,,,
14,,,
15,M,27-05-71,Halesowen
16,G,11-05-68,Sedgefield
17,D,11-08-65,Larvik
18,D,16-06-75,Edinburgh
19,D,06-04-70,Wigan
20,F,21-06-64,Swansea
21,D,28-09-64,Liverpool
22,D,23-01-80,Bradford
23,F,06-09-80,Leeds
24,M,11-12-81,Leeds
25,,,
26,M,22-04-69,Glasgow
27,,,
28,M,13-12-70,Aberdeen
29,,,
30,M,22-02-83,Uitenhage
31,G,13-01-83,Bradford
32,F,02-10-82,Bradford
33,D,04-10-83,Bradford
34,M,18-08-82,Bradford
35,M,23-02-83,Middlesbrough
36,,,
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,31-08-76,Bridgnorth
43,M,22-12-67,Bucharest
44,F,22-05-78,London
45,F,22-01-71,Stone
46,M,28-11-65,Middlesbrough
47,M,01-04-69,Hull
48,D,29-06-79,Harrogate
49,M,21-08-70,Greenock
50,,,
