position,age,nationality
Goalkeeper,27,Australia
Goalkeeper,30,England
Goalkeeper,23,England
Goalkeeper,28,England
Centre-Back,27,Ireland
Centre-Back,27,England
Centre-Back,27,England
Centre-Back,30,Nigeria
Left-Back,24,Brazil
Left-Back,31,Cameroon
Right-Back,28,Spain
Right-Back,38,Spain
Central Midfield,22,Mali
Central Midfield,27,Netherlands
Central Midfield,29,England
Central Midfield,31,Israel
Central Midfield,27,Ireland
Left Midfield,24,England
Attacking Midfield,27,Germany
Left Winger,26,Colombia
Right Winger,25,Iran
Right Winger,27,France
Centre-Forward,25,Netherlands
Centre-Forward,26,Romania
Centre-Forward,35,England
Centre-Forward,32,Israel
