position,age,nationality
Goalkeeper,30.0,England
Goalkeeper,34.0,Denmark
Goalkeeper,25.0,Peru
Centre-Back,28.0,Scotland
Centre-Back,29.0,England
Centre-Back,29.0,Guyana
Centre-Back,31.0,Northern Ireland
Centre-Back,24.0,Cameroon
Centre-Back,27.0,England
Centre-Back,22.0,Canada
Left-Back,23.0,Scotland
Left-Back,21.0,Scotland
Left-Back,32.0,Norway
Right-Back,26.0,England
Right-Back,37.0,Scotland
Right-Back,20.0,England
Defensive Midfield,21.0,Ireland
Defensive Midfield,20.0,Scotland
Defensive Midfield,20.0,England
Central Midfield,29.0,Iceland
Central Midfield,18.0,England
Central Midfield,19.0,England
Right Midfield,19.0,Scotland
Attacking Midfield,30.0,England
Left Winger,19.0,Ecuador
Right Winger,23.0,England
Second Striker,33.0,England
Centre-Forward,22.0,Scotland
Centre-Forward,24.0,England
Centre-Forward,20.0,Central African Republic
Centre-Forward,22.0,Northern Ireland
Centre-Forward,30.0,Scotland
Centre-Forward,19.0,England
