position,age,nationality
Goalkeeper,28.0,Scotland
Goalkeeper,25.0,England
Goalkeeper,23.0,England
Centre-Back,21.0,England
Centre-Back,23.0,Martinique
Centre-Back,25.0,England
Centre-Back,23.0,Spain
Centre-Back,24.0,England
Centre-Back,31.0,England
Centre-Back,19.0,England
Left-Back,26.0,England
Left-Back,18.0,Wales
Right-Back,22.0,Brazil
Right-Back,30.0,Scotland
Right-Back,25.0,England
Right-Back,17.0,Wales
Defensive Midfield,25.0,Chile
Defensive Midfield,22.0,Slovakia
Central Midfield,22.0,Norway
Central Midfield,28.0,England
Central Midfield,24.0,Iceland
Central Midfield,21.0,England
Central Midfield,30.0,Scotland
Right Midfield,30.0,Scotland
Right Midfield,20.0,England
Left Winger,23.0,"Korea, South"
Left Winger,33.0,Wales
Left Winger,28.0,Scotland
Left Winger,18.0,Norway
Right Winger,20.0,Cote d'Ivoire
Right Winger,31.0,Nigeria
Right Winger,25.0,England
Centre-Forward,28.0,Trinidad and Tobago
Centre-Forward,20.0,Denmark
Centre-Forward,25.0,England
Centre-Forward,26.0,England
Centre-Forward,22.0,Norway
Centre-Forward,24.0,Slovenia
Centre-Forward,22.0,Ireland
Centre-Forward,24.0,Benin
Centre-Forward,33.0,England
Centre-Forward,18.0,England
