,Pos,Date of Birth,Birth Place
0,G,10-10-70,Salford
1,D,30-07-74,Burgas
2,D,08-09-69,Lambeth
3,M,24-10-70,Tooting
4,D,12-01-75,Lewisham
5,,,
6,M,20-08-75,Camberwell
7,M,12-08-72,Dublin
8,F,09-06-70,Thurrock
9,F,09-09-68,Islington
10,M,29-08-71,Bulawayo
11,D,13-05-72,Brighton
12,G,18-07-72,Melbourne
13,F,18-11-70,Gothenburg
14,D,03-05-70,Liverpool
15,D,21-08-76,Falkirk
16,M,13-10-80,Lambeth
17,D,15-05-81,Barking
18,D,21-09-74,Derby
19,M,29-04-77,Nykobing
20,F,16-08-75,Stockholm
21,G,02-05-75,Bishop Auckland
22,D,14-12-80,Sidcup
23,D,23-08-80,Islington
24,,,
25,F,24-09-74,Boras
26,,,
27,M,11-02-69,Nigeria
28,M,17-10-78,Hackney
29,F,13-02-81,Southwark
30,M,20-02-74,Tehran
31,D,02-09-80,Lagos
32,M,08-11-81,London
33,F,20-12-81,London
34,G,11-04-74,Whitehaven
35,D,14-03-74,Cape Town
36,F,31-10-72,Cape Town
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,F,01-05-81,Gillingham
43,D,11-02-70,Sheffield
44,M,29-09-80,Whitechapel
45,,,
