,Pos,Date of Birth,Birth Place
0,G,20-12-66,Gouda
1,,,
2,D,29-08-78,Kaduna
3,,,
4,D,22-01-68,Marseille
5,D,17-09-68,Accra
6,D,22-10-70,Rotterdam
7,M,15-11-67,Montevideo
8,F,27-03-72,Holland
9,M,16-08-68,Novi Sad
10,M,16-12-66,Kensington
11,M,10-04-72,Sarajevo
12,G,05-10-62,Custom House
13,D,17-10-68,Jersey
14,D,04-11-76,Amsterdam
15,M,29-05-70,Schaffhausen
16,D,06-06-70,Barcelona
17,M,07-08-73,Varese
18,D,11-09-75,Johannesburg
19,M,22-12-78,Hammersmith
20,D,11-05-71,Pointe-A-Pitre
21,F,15-09-78,Reykjavik
22,G,06-09-73,Milan
23,D,06-02-81,S Dona di Piave
24,F,05-07-66,Oliena
25,D,07-12-80,Barking
26,M,06-08-78,Georgia
27,D,15-11-80,Cardiff
28,,,
29,M,12-08-77,Nuuk
30,G,13-01-72,Fairfield
31,F,15-03-81,Steinfurt
32,,,
33,D,26-09-79,Maidstone
34,,,
35,F,16-09-82,Hackney
36,F,30-05-77,Hillingdon
37,,,
38,M,21-12-79,Perivale
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,30-03-72,Porto Alegre
43,D,25-08-80,Milan
44,F,15-06-73,Strin
45,D,12-04-73,Savona
46,D,07-05-66,Aalborg
47,,,
