position,age,nationality
Goalkeeper,25,Czech Republic
Goalkeeper,33,Italy
Goalkeeper,31,Portugal
Goalkeeper,17,Wales
Centre-Back,26,England
Centre-Back,29,Portugal
Centre-Back,25,Brazil
Centre-Back,25,Israel
Centre-Back,23,Serbia
Centre-Back,19,England
Centre-Back,18,England
Left-Back,26,England
Left-Back,26,England
Left-Back,17,England
Right-Back,28,Portugal
Right-Back,31,Brazil
Right-Back,22,England
Defensive Midfield,24,Ghana
Defensive Midfield,20,Nigeria
Defensive Midfield,34,France
Defensive Midfield,22,France
Defensive Midfield,18,Scotland
Defensive Midfield,18,England
Central Midfield,29,England
Central Midfield,30,Germany
Central Midfield,24,England
Central Midfield,20,England
Central Midfield,20,England
Central Midfield,17,England
Left Midfield,18,England
Attacking Midfield,25,England
Left Winger,27,French Guiana
Left Winger,21,Cote d'Ivoire
Right Winger,25,England
Centre-Forward,30,Ukraine
Centre-Forward,29,Cote d'Ivoire
Centre-Forward,28,France
Centre-Forward,28,Peru
Centre-Forward,17,Israel
