,Pos,Date of Birth,Birth Place
0,G,19-03-73,Stockholm
1,D,24-12-72,Barnstaple
2,M,09-03-73,Lincoln
3,D,26-03-71,Burton
4,F,05-04-75,Swansea
5,D,11-09-68,Brentford
6,M,12-09-77,Birkenhead
7,M,10-05-73,Boujaad
8,,,
9,M,16-11-71,Ifrane
10,F,27-08-76,Lima
11,M,21-10-71,Edinburgh
12,G,02-05-81,Leicester
13,M,05-12-65,Oldbury
14,M,03-11-79,Solihull
15,F,05-02-76,Adelaide
16,D,12-12-73,London
17,F,13-01-79,Cardiff
18,D,30-11-77,Comayagua
19,D,07-05-73,Stockholm
20,M,23-12-78,Aberdeen
21,M,09-05-79,Dublin
22,G,26-01-78,Harning
23,D,24-03-76,Coventry
24,M,07-09-79,Dublin
25,D,14-05-70,Tulsa
26,M,05-06-81,Glasgow
27,F,05-05-82,Islington
28,F,01-03-78,Harstad
29,M,21-07-79,Leuven
30,F,14-05-78,Hondouras
31,M,28-02-74,Birmingham
32,F,13-08-81,Coventry
33,G,29-03-70,Epping
34,M,15-09-81,Bromsgrove
35,M,10-06-83,Cardiff
36,M,19-05-82,Aberdeen
37,D,03-08-82,Coventry
38,D,23-09-83,Falun
39,F,18-04-80,Stirling
40,D,01-01-83,Bedford
41,M,21-12-81,Doncaster
42,,,
43,Pos,Date of Birth,Birth Place
44,M,18-10-80,Dublin
45,D,07-12-65,Keith
46,F,06-01-78,Mons
47,,,
