position,age,nationality
Goalkeeper,26.0,Wales
Goalkeeper,34.0,Argentina
Goalkeeper,28.0,Wales
Goalkeeper,35.0,Scotland
Goalkeeper,19.0,England
Centre-Back,26.0,England
Centre-Back,26.0,Jamaica
Centre-Back,30.0,Ireland
Centre-Back,29.0,England
Centre-Back,33.0,Wales
Centre-Back,31.0,Ireland
Centre-Back,19.0,England
Centre-Back,19.0,England
Centre-Back,18.0,England
Left-Back,24.0,Norway
Left-Back,27.0,France
Left-Back,27.0,England
Left-Back,21.0,England
Left-Back,18.0,England
Right-Back,23.0,England
Defensive Midfield,28.0,Australia
Defensive Midfield,17.0,England
Central Midfield,23.0,Scotland
Central Midfield,26.0,Wales
Central Midfield,20.0,Spain
Central Midfield,27.0,Algeria
Central Midfield,25.0,Ireland
Central Midfield,28.0,South Africa
Central Midfield,22.0,England
Attacking Midfield,27.0,England
Attacking Midfield,19.0,Wales
Left Winger,30.0,England
Left Winger,24.0,DR Congo
Left Winger,19.0,England
Right Winger,21.0,England
Right Winger,29.0,Mali
Right Winger,25.0,France
Centre-Forward,29.0,Morocco
Centre-Forward,29.0,England
Centre-Forward,26.0,England
Centre-Forward,30.0,Scotland
Centre-Forward,22.0,England
Centre-Forward,39.0,England
Centre-Forward,33.0,England
Centre-Forward,22.0,Ghana
