,Pos,Date of Birth,Birth Place
0,G,03-02-72,Tallinn
1,D,02-05-73,Rosario
2,D,06-09-72,Paisley
3,M,15-11-71,Lambeth
4,M,06-07-76,Sutton Coldfield
5,M,24-09-71,Ayr
6,M,12-03-79,Birmingham
7,,,
8,F,25-10-76,Reading
9,M,06-07-73,Tbilisi
10,M,30-04-80,Driffield
11,F,11-04-79,Peterborough
12,,,
13,M,14-10-73,Akranes
14,D,29-12-78,Manchester
15,D,28-05-71,Valr?as
16,D,16-07-79,Caen
17,D,18-04-80,Whitby
18,D,29-10-78,Derby
19,M,29-12-68,Genoa
20,D,01-09-80,Derby
21,D,05-01-71,Trondheim
22,D,21-01-79,Carlisle
23,G,11-01-77,Crewe
24,F,09-02-70,Zagreb
25,F,11-04-80,Crewe
26,D,06-07-77,Australia
27,M,28-04-73,Helsinki
28,D,19-11-81,Coventry
29,M,30-09-81,Birmingham
30,M,25-10-80,Hull
31,G,27-01-83,Hemel Hempstead
32,M,25-08-82,Birmingham
33,D,26-03-74,Port Harcourt
34,M,18-08-83,Newry
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,06-10-71,Vejle
43,D,24-04-71,Neumunster
44,F,27-07-73,Birmingham
45,M,08-09-69,Vadso
46,,,
