position,age,nationality
Goalkeeper,29,Northern Ireland
Goalkeeper,26,England
Goalkeeper,22,Wales
Goalkeeper,18,England
Centre-Back,32,England
Centre-Back,26,Scotland
Centre-Back,33,Jamaica
Centre-Back,33,Jamaica
Centre-Back,35,England
Centre-Back,28,Jamaica
Centre-Back,22,Scotland
Centre-Back,23,England
Centre-Back,18,Wales
Centre-Back,18,England
Left-Back,32,Guinea
Right-Back,28,England
Right-Back,24,England
Right-Back,30,England
Right-Back,34,England
Right-Back,18,England
Right-Back,17,England
Midfielder,17,England
Defensive Midfield,29,England
Central Midfield,32,Wales
Central Midfield,25,Egypt
Central Midfield,22,England
Central Midfield,24,Scotland
Central Midfield,22,United States
Left Midfield,33,United States
Left Midfield,28,Australia
Forward,17,England
Left Winger,32,France
Left Winger,20,England
Right Winger,28,Scotland
Centre-Forward,26,Wales
Centre-Forward,31,Scotland
Centre-Forward,27,Scotland
Centre-Forward,29,Ireland
Centre-Forward,18,Jamaica
Centre-Forward,24,England
Centre-Forward,25,Argentina
