,Pos,Date of Birth,Birth Place
0,G,22-01-73,Heywood
1,D,01-04-74,North Shields
2,D,27-07-75,Milan
3,D,05-04-62,Stockholm
4,D,10-05-70,Falkirk
5,D,16-10-73,Chorley
6,M,29-12-71,Halmstad
7,M,15-10-73,Accra
8,F,04-02-70,Lambeth
9,M,18-09-76,Wokingham
10,M,28-11-70,Merthyr Tydfil
11,D,02-10-79,Liverpool
12,G,03-04-79,South Shields
13,F,25-01-81,Liverpool
14,D,16-11-78,Edinburgh
15,M,11-03-76,Vejle
16,M,02-01-71,Paisley
17,M,27-05-67,Gateshead
18,F,23-02-71,America
19,D,10-12-70,Glasgow
20,F,12-10-79,Bradford
21,D,20-11-61,Liverpool
22,,,
23,F,27-12-71,Stirling
24,D,06-04-77,Denmark
25,F,01-08-79,Liverpool
26,,,
27,D,30-11-72,Mozambique
28,M,12-09-80,Liverpool
29,D,03-01-82,Southport
30,M,17-05-81,Billinge
31,D,20-02-81,Liverpool
32,M,10-02-75,Petah Tikva
33,,,
34,G,16-10-73,Sarpsborg
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,21-09-79,Dublin
43,F,01-11-63,Wrexham
44,M,03-01-80,Blackpool
45,,,
