position,age,nationality
Goalkeeper,28,United States
Goalkeeper,28,Germany
Goalkeeper,20,England
Goalkeeper,23,Scotland
Centre-Back,24,England
Centre-Back,26,Nigeria
Centre-Back,24,England
Centre-Back,35,England
Centre-Back,18,England
Left-Back,22,England
Left-Back,32,Portugal
Left-Back,20,Scotland
Right-Back,30,England
Right-Back,26,England
Defensive Midfield,31,Denmark
Defensive Midfield,33,Ireland
Defensive Midfield,24,Brazil
Defensive Midfield,16,England
Central Midfield,25,Spain
Central Midfield,26,England
Central Midfield,19,Iceland
Central Midfield,17,England
Attacking Midfield,27,Australia
Attacking Midfield,21,Portugal
Left Winger,25,South Africa
Right Winger,27,Netherlands
Second Striker,24,Scotland
Centre-Forward,26,England
Centre-Forward,24,Nigeria
Centre-Forward,19,Nigeria
Centre-Forward,18,England
Centre-Forward,18,England
