position,age,nationality
Goalkeeper,33,Finland
Goalkeeper,36,Wales
Goalkeeper,18,Portugal
Goalkeeper,25,Czech Republic
Goalkeeper,31,Trinidad and Tobago
Centre-Back,25,England
Centre-Back,32,France
Centre-Back,26,United States
Centre-Back,31,England
Centre-Back,26,France
Centre-Back,21,Pakistan
Centre-Back,21,England
Centre-Back,19,England
Left-Back,24,England
Left-Back,30,Denmark
Right-Back,22,Germany
Right-Back,20,England
Defensive Midfield,27,Senegal
Defensive Midfield,31,New Zealand
Central Midfield,25,France
Central Midfield,28,England
Central Midfield,20,Ireland
Right Midfield,24,Australia
Left Midfield,32,France
Left Midfield,27,Portugal
Left Midfield,34,Wales
Attacking Midfield,28,Denmark
Centre-Forward,31,Canada
Centre-Forward,19,Netherlands
Centre-Forward,33,United States
Centre-Forward,27,Iceland
