position,age,nationality
Goalkeeper,30,Denmark
Goalkeeper,31,England
Goalkeeper,23,England
Goalkeeper,19,England
Centre-Back,25,Netherlands
Centre-Back,29,Germany
Centre-Back,29,Denmark
Centre-Back,23,Slovenia
Left-Back,30,Germany
Left-Back,27,Germany
Right-Back,24,Kosovo
Right-Back,27,England
Defensive Midfield,30,United States
Central Midfield,28,Australia
Central Midfield,23,Denmark
Central Midfield,30,England
Central Midfield,21,Netherlands
Attacking Midfield,26,England
Attacking Midfield,32,England
Attacking Midfield,22,Germany
Attacking Midfield,24,England
Left Winger,28,Netherlands
Right Winger,23,Belgium
Right Winger,27,DR Congo
Centre-Forward,24,Benin
Centre-Forward,22,France
Centre-Forward,30,Belgium
Centre-Forward,21,England
