position,age,nationality
Goalkeeper,31,Scotland
Goalkeeper,34,Scotland
Goalkeeper,31,Slovakia
Goalkeeper,31,Switzerland
Goalkeeper,18,England
Centre-Back,28,Italy
Centre-Back,31,England
Centre-Back,32,England
Centre-Back,23,England
Centre-Back,31,Northern Ireland
Left-Back,22,Scotland
Left-Back,17,England
Right-Back,24,Norway
Right-Back,22,England
Right-Back,28,Egypt
Right-Back,22,Ireland
Right-Back,19,England
Right-Back,19,England
Midfielder,18,England
Defensive Midfield,29,England
Defensive Midfield,26,England
Defensive Midfield,26,Senegal
Central Midfield,25,England
Central Midfield,23,Norway
Central Midfield,27,Ireland
Central Midfield,18,England
Right Midfield,20,England
Left Midfield,25,England
Left Midfield,20,England
Attacking Midfield,29,Brazil
Attacking Midfield,33,Scotland
Forward,21,England
Left Winger,28,Poland
Right Winger,22,Serbia
Right Winger,28,Scotland
Right Winger,19,England
Centre-Forward,26,Senegal
Centre-Forward,25,Uruguay
Centre-Forward,30,DR Congo
Centre-Forward,26,Norway
Centre-Forward,23,England
Centre-Forward,21,England
