,Pos,Date of Birth,Birth Place
0,G,05-11-77,Ipswich
1,D,23-08-70,Paramaribo
2,D,07-12-75,Lincoln
3,D,02-06-72,Birkenhead
4,D,22-11-63,Saltburn
5,D,06-04-67,Hartlepool
6,M,06-05-69,Belfast
7,M,11-04-74,Bury
8,,,
9,F,15-11-75,Bury St Edmunds
10,F,07-11-72,Bristol
11,F,28-02-77,Leeds
12,G,14-06-64,Leyland
13,M,21-10-75,Greenwich
14,D,04-07-66,Harrogate
15,D,17-02-74,Stafford
16,D,20-08-77,Barking
17,,,
18,D,21-07-81,Ipswich
19,M,04-01-82,Bury St Edmunds
20,G,10-07-66,Fulham
21,,,
22,M,15-05-79,Derry
23,,,
24,M,30-10-81,Ipswich
25,G,18-03-82,Chelmsford
26,F,07-01-82,Amsterdam
27,M,05-08-82,Amsterdam
28,D,16-12-80,Johannesburg
29,M,01-02-75,Amsterdam
30,D,03-07-81,East Kilbride
31,D,11-07-74,Reykjavik
32,D,31-12-73,Oramovica Ponja
33,F,22-02-75,Gateshead
34,F,18-08-80,Broxburn
35,D,08-05-73,Manchester
36,,,
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,M,24-12-78,Glasgow
43,F,15-08-76,Kingston
44,D,05-11-71,Sarcelles
45,M,21-10-78,Cambridge
46,,,
