,Pos,Date of Birth,Birth Place
0,G,11-08-66,St Austell
1,D,09-07-74,Drogheda
2,D,31-08-77,Drogheda
3,M,29-09-74,Montreuil
4,D,12-04-69,Johannesburg
5,D,22-01-80,Middlesbrough
6,F,08-07-80,Dublin
7,F,05-08-78,South Shields
8,F,09-10-75,Melbourne
9,F,22-09-78,Sydney
10,M,03-01-77,London
11,,,
12,G,15-10-79,Beverley
13,M,09-12-79,London
14,,,
15,M,15-07-71,Bolton
16,F,28-10-80,Leeds
17,D,18-05-77,Norwich
18,M,13-09-77,Sogndal
19,,,
20,D,24-04-74,Dumfries
21,D,14-10-75,Enfield
22,M,02-12-68,Leeds
23,D,15-05-75,Auckland
24,M,21-01-78,Sydney
25,G,26-06-78,Carlton
26,D,08-08-78,Dublin
27,M,29-11-82,Sydney
28,D,08-11-78,Peckham
29,,,
30,D,15-02-81,Leeds
31,M,22-09-80,Strabane
32,M,30-03-79,Portadown
33,M,27-06-80,Easington
34,,,
35,F,17-01-81,Belfast
36,D,31-07-79,Dublin
37,F,19-05-80,Durham
38,D,21-11-81,Dublin
39,,,
40,F,16-05-82,Leeds
41,F,15-09-81,Bradford
42,,,
43,Pos,Date of Birth,Birth Place
44,M,16-12-80,Carmarthen
45,D,27-02-69,Zaandam
46,M,01-09-80,Llanelli
47,F,23-04-76,Nottingham
48,F,06-01-79,Middlesbrough
49,D,02-11-81,Birmingham
50,M,03-01-82,Sligo
51,,,
