,Pos,Date of Birth,Birth Place
0,G,03-02-67,Kenilworth
1,D,06-03-74,Bromsgrove
2,D,03-12-71,Lambeth
3,D,18-10-70,Belfast
4,,,
5,M,31-10-74,Mile End
6,M,01-09-80,Llanelli
7,M,18-10-74,Wrexham
8,M,10-06-75,Chippingham
9,,,
10,M,29-03-69,Winchester
11,G,09-09-71,Forest Green
12,M,06-03-73,Akranes
13,D,26-06-76,Stirling
14,,,
15,M,09-12-77,Corby
16,M,06-09-78,Leicester
17,D,01-11-68,Wandsworth
18,,,
19,F,08-02-79,Kettering
20,F,27-07-73,Birmingham
21,F,10-10-74,Hackney
22,F,20-09-77,Bridlington
23,M,13-09-71,Hammersmith
24,F,09-10-73,Wembley
25,M,21-01-79,Islington
26,,,
27,F,07-05-80,London
28,D,29-07-81,Cork
29,G,04-03-83,Newcastle
30,,,
31,M,29-09-81,Leicester
32,G,01-12-64,Nottingham
33,,,
34,F,23-02-79,Liverpool
35,,,
36,,,
37,,,
38,,,
39,,,
40,M,22-03-80,Belfast
41,M,03-03-82,Birmingham
42,,,
43,Pos,Date of Birth,Birth Place
44,F,11-07-65,West Ham
45,D,03-11-64,Fulwood
46,F,22-01-71,Stone
47,M,22-04-69,Glasgow
48,M,25-06-71,Lurgan
49,M,16-09-77,Leicester
50,D,25-08-73,Stockton
51,F,27-11-64,Jesi
52,,,
