position,age,nationality
Goalkeeper,27,Denmark
Goalkeeper,41,Australia
Goalkeeper,26,England
Goalkeeper,28,Ireland
Goalkeeper,21,England
Centre-Back,29,Germany
Centre-Back,21,England
Centre-Back,30,Jamaica
Centre-Back,35,England
Centre-Back,34,Poland
Left-Back,33,England
Left-Back,27,Cote d'Ivoire
Right-Back,25,Belgium
Right-Back,27,England
Right-Back,21,England
Defensive Midfield,33,Argentina
Defensive Midfield,20,England
Central Midfield,24,England
Central Midfield,25,Wales
Central Midfield,22,England
Central Midfield,31,England
Central Midfield,29,Scotland
Central Midfield,20,England
Right Midfield,24,England
Left Midfield,21,Ghana
Left Midfield,19,England
Attacking Midfield,20,England
Left Winger,20,Wales
Right Winger,22,France
Right Winger,23,Algeria
Right Winger,33,England
Centre-Forward,23,Croatia
Centre-Forward,29,England
Centre-Forward,27,Argentina
Centre-Forward,27,England
Centre-Forward,22,New Zealand
Centre-Forward,20,England
