,Pos,Date of Birth,Birth Place
0,G,23-10-74,Enschede
1,D,07-09-74,Billens
2,D,01-02-72,Berlin
3,,,
4,,,
5,D,08-09-72,Munich
6,M,24-05-73,Degin
7,F,11-01-78,Leicester
8,F,09-04-75,Toxteth
9,F,14-12-79,Chester
10,M,25-06-73,Barton-on-Sea
11,D,07-10-73,Porvoo
12,M,18-03-77,Chester
13,D,13-07-75,Trondheim
14,M,10-11-73,Prague
15,M,27-08-73,Waldsasson
16,M,30-05-80,Whiston
17,,,
18,G,18-05-73,Abymes
19,M,11-02-74,Hull
20,M,25-12-64,Motherwell
21,,,
22,D,28-01-78,Liverpool
23,M,23-01-74,Bourges
24,M,04-05-78,Zagreb
25,G,06-05-71,Nykobing
26,D,19-07-81,Montpellier
27,M,12-09-80,Dublin
28,D,08-02-80,Liverpool
29,D,01-03-80,Saint Quen
30,D,17-01-78,Oslo
31,,,
32,M,31-05-81,Liverpool
33,M,22-04-83,Mariehamn
34,,,
35,,,
36,F,20-02-71,Lahti
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,24-04-74,Dumfries
43,G,18-05-71,Lakewood
44,D,19-01-69,Drogheda
45,D,01-07-76,Nkanglicock
46,F,02-08-69,Meersen
47,F,17-11-72,Donka
48,F,28-11-78,Warrington
49,,,
