position,age,nationality
Goalkeeper,26,Belgium
Goalkeeper,32,Australia
Goalkeeper,21,Wales
Centre-Back,24,France
Centre-Back,29,Slovakia
Centre-Back,24,Croatia
Centre-Back,33,Cote d'Ivoire
Centre-Back,23,Uruguay
Left-Back,28,Spain
Left-Back,21,Spain
Right-Back,29,England
Right-Back,20,Spain
Right-Back,21,England
Right-Back,21,England
Defensive Midfield,27,Brazil
Defensive Midfield,20,Germany
Defensive Midfield,18,Wales
Central Midfield,24,England
Central Midfield,24,Wales
Central Midfield,34,England
Central Midfield,17,England
Attacking Midfield,26,England
Attacking Midfield,18,England
Attacking Midfield,21,Portugal
Left Winger,22,Brazil
Left Winger,23,Italy
Right Winger,19,England
Right Winger,20,Serbia
Right Winger,20,Spain
Right Winger,18,England
Right Winger,17,England
Centre-Forward,23,Italy
Centre-Forward,24,England
Centre-Forward,32,England
Centre-Forward,17,England
