,Pos,Date of Birth,Birth Place
0,G,02-03-79,Sheffield
1,,,
2,D,23-09-74,Oldham
3,D,25-02-73,Tolhuiswyk
4,D,30-07-70,Inverness
5,M,01-11-72,Erirth
6,D,22-04-71,Rochford
7,,,
8,F,01-11-72,Glasgow
9,F,25-02-70,Bermuda
10,M,05-08-76,Marston Green
11,M,23-01-69,Kirovograd
12,,,
13,F,25-02-73,Weston-S-Mare
14,D,23-11-72,Stavanger
15,D,21-08-75,Kirkcaldy
16,M,14-04-75,Zambia
17,M,28-01-79,Zambia
18,M,22-05-73,Melbourne
19,G,13-09-73,Bolton
20,F,23-04-76,Nottingham
21,D,21-09-79,Dublin
22,F,31-07-76,Heredia
23,D,26-10-71,Sunderland
24,,,
25,G,18-05-79,Ballymoney
26,F,02-01-72,Haugesund
27,M,14-11-74,Liverpool
28,F,25-10-81,London
29,G,23-12-81,Macclesfield
30,D,08-05-73,Beziers
31,F,04-09-81,Manchester
32,F,08-10-81,Wellington
33,M,15-05-76,Dublin
34,G,07-05-83,Waterford
35,D,19-01-75,Islington
36,M,20-02-82,Canada
37,M,31-08-82,Bridgend
38,M,08-06-82,Kano
39,M,09-05-82,Liverpool
40,,,
41,Pos,Date of Birth,Birth Place
42,F,30-04-71,Norwich
43,F,01-10-66,Monrovia
44,D,23-11-79,Preston
45,M,15-10-79,Edinburgh
46,M,01-10-80,Hull
47,F,10-08-78,Melbourne
48,D,14-01-78,Wakefield
49,M,29-05-65,Liverpool
50,D,27-12-80,Derry
51,D,09-05-63,Holderness
52,G,29-08-63,Belfast
53,,,
