position,age,nationality
Goalkeeper,33.0,Ireland
Goalkeeper,22.0,England
Goalkeeper,26.0,Hungary
Goalkeeper,28.0,England
Goalkeeper,22.0,Faroe Island
Centre-Back,28.0,Cote d'Ivoire
Centre-Back,26.0,England
Centre-Back,23.0,Belgium
Centre-Back,29.0,Ireland
Centre-Back,22.0,England
Centre-Back,18.0,Belgium
Left-Back,28.0,England
Left-Back,24.0,Spain
Left-Back,35.0,Brazil
Left-Back,18.0,Ireland
Right-Back,21.0,England
Right-Back,24.0,Argentina
Right-Back,20.0,England
Right-Back,18.0,England
Defensive Midfield,28.0,England
Defensive Midfield,33.0,France
Defensive Midfield,24.0,Netherlands
Defensive Midfield,21.0,England
Defensive Midfield,21.0,Nigeria
Central Midfield,18.0,England
Central Midfield,19.0,England
Central Midfield,18.0,Norway
Attacking Midfield,22.0,Ireland
Left Winger,30.0,Bulgaria
Left Winger,29.0,Wales
Left Winger,19.0,Slovakia
Right Winger,27.0,England
Right Winger,21.0,England
Second Striker,25.0,Brazil
Second Striker,25.0,Argentina
Centre-Forward,25.0,Togo
Centre-Forward,27.0,Paraguay
Centre-Forward,30.0,Zimbabwe
Centre-Forward,19.0,England
Centre-Forward,18.0,England
