,Pos,Date of Birth,Birth Place
0,G,28-06-71,Lavelanet
1,D,18-02-75,Bury
2,D,31-10-65,Cork
3,D,24-06-70,Oldham
4,D,10-06-69,Sandefjord
5,D,17-07-72,Kampen
6,M,02-05-75,Leytonstone
7,M,21-01-75,Manchester
8,F,15-10-71,Nottingham
9,F,02-04-66,Highams Park
10,M,29-11-73,Cardiff
11,D,21-01-77,Bury
12,,,
13,G,13-04-65,Bury
14,M,05-02-74,Tavelsjo
15,M,10-08-71,Cork
16,G,24-03-63,Oldenzaal
17,M,16-11-74,Salford
18,F,03-11-71,Canaan
19,F,26-02-73,Kristiansund
20,,,
21,D,10-09-77,Manchester
22,D,03-07-77,Ashton-u-Lyme
23,D,13-10-79,Manchester
24,M,21-05-77,Cape Town
25,M,09-02-79,Scunthorpe
26,D,09-08-77,Chambray-Les-Tours
27,M,26-02-81,Edinburgh
28,,,
29,D,30-04-81,Waterford
30,M,01-02-84,Edinburgh
31,M,06-02-82,Belgrade
32,G,21-05-81,California
33,M,02-01-79,Scarborough
34,,,
35,M,18-11-80,Cambridge
36,F,28-12-81,Manchester
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,F,10-12-79,Edinburgh
43,F,05-08-79,Downpatrick
44,G,13-01-72,Fairfield
45,D,01-09-69,Eidsvoll
46,,,
