position,age,nationality
Goalkeeper,22.0,Spain
Goalkeeper,29.0,Denmark
Goalkeeper,23.0,England
Goalkeeper,20.0,England
Centre-Back,31.0,Serbia
Centre-Back,21.0,England
Centre-Back,23.0,England
Centre-Back,25.0,Northern Ireland
Centre-Back,34.0,England
Centre-Back,20.0,England
Left-Back,27.0,England
Left-Back,32.0,France
Left-Back,24.0,Netherlands
Right-Back,27.0,Ecuador
Right-Back,22.0,Brazil
Right-Back,22.0,Brazil
Defensive Midfield,31.0,England
Central Midfield,25.0,Belgium
Central Midfield,23.0,England
Central Midfield,25.0,Brazil
Central Midfield,29.0,Scotland
Left Midfield,39.0,Wales
Attacking Midfield,25.0,Spain
Attacking Midfield,24.0,Japan
Left Winger,26.0,Portugal
Left Winger,22.0,Portugal
Left Winger,19.0,Wales
Right Winger,20.0,Cote d'Ivoire
Right Winger,20.0,England
Right Winger,18.0,Belgium
Centre-Forward,27.0,England
Centre-Forward,29.0,Netherlands
Centre-Forward,25.0,Mexico
Centre-Forward,22.0,England
Centre-Forward,19.0,Chile
Centre-Forward,21.0,Italy
Centre-Forward,17.0,England
