,Pos,Date of Birth,Birth Place
0,G,06-10-72,Sydney
1,D,08-10-68,Manchester
2,D,10-02-73,Thornton Heath
3,D,13-10-67,Bishop Auckland
4,D,15-03-69,Cagliari
5,D,30-06-65,Ramsgate
6,M,28-08-68,Oxford
7,M,03-12-70,Lifou
8,M,21-10-67,Ilford
9,F,07-02-68,Leeds
10,F,21-01-70,Makarska
11,M,16-02-76,Dublin
12,G,02-06-69,Lincoln
13,M,05-04-72,Sydney
14,M,02-10-69,Darlington
15,F,01-12-77,Venissieux
16,D,03-11-72,Hackney
17,F,18-04-79,Middlesbrough
18,F,12-01-74,Choco
19,M,01-04-69,Hull
20,,,
21,M,30-10-76,Durham
22,M,14-03-82,Buenos Aires
23,M,12-12-75,Middlesbrough
24,G,16-06-69,Barnsley
25,F,30-12-74,Leeds
26,D,30-11-79,Redcar
27,D,28-02-67,Sedgefield
28,D,14-03-80,Dublin
29,D,19-07-82,Durham
30,M,25-11-74,Dublin
31,D,08-09-78,Pontefract
32,M,31-03-79,Middlesbrough
33,G,30-08-80,Edinburgh
34,D,08-03-81,Stirling
35,M,24-10-80,Bishop Auckland
36,,,
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,01-02-72,Berlin
43,D,10-11-77,Gateshead
44,F,22-02-75,Gateshead
45,G,21-03-68,Wigan
46,M,15-09-79,Bishop Auckland
47,,,
