position,age,nationality
Goalkeeper,32,Australia
Goalkeeper,23,Australia
Goalkeeper,20,England
Goalkeeper,18,England
Centre-Back,32,England
Centre-Back,34,England
Centre-Back,22,Austria
Centre-Back,24,England
Centre-Back,20,England
Centre-Back,18,England
Centre-Back,18,England
Centre-Back,16,Australia
Left-Back,26,France
Left-Back,38,England
Left-Back,18,England
Right-Back,32,Netherlands
Right-Back,32,Portugal
Right-Back,22,England
Right-Back,19,England
Defensive Midfield,29,Netherlands
Defensive Midfield,17,England
Central Midfield,23,Brazil
Central Midfield,32,England
Central Midfield,19,Scotland
Central Midfield,18,England
Central Midfield,16,England
Right Midfield,31,Spain
Right Midfield,33,Brazil
Left Midfield,20,England
Right Winger,26,England
Right Winger,17,England
Second Striker,27,Slovakia
Centre-Forward,22,Nigeria
Centre-Forward,29,Australia
Centre-Forward,33,Netherlands
Centre-Forward,25,Italy
Centre-Forward,27,Cameroon
Centre-Forward,19,England
Centre-Forward,18,England
