,Pos,Date of Birth,Birth Place
0,G,24-04-76,Lifford
1,D,19-03-69,Stoke Newington
2,D,26-09-71,Gijon
3,,,
4,D,29-06-79,Harrogate
5,M,08-02-75,Rancagua
6,M,01-02-66,Hornchurch
7,M,29-12-78,Ipswich
8,F,13-08-70,Gosforth
9,M,16-02-73,Buenos Aires
10,M,08-09-69,Mancot
11,D,17-03-79,Wigan
12,G,03-02-74,Easington
13,D,19-11-76,Truro
14,M,12-12-74,Callao
15,F,01-11-77,Southwark
16,F,06-01-74,General Rodr?guez
17,D,08-11-79,Magherafelt
18,M,23-05-76,Dundee
19,F,28-12-80,Zaire
20,M,12-04-81,Asuncion
21,M,13-05-79,Newcastle
22,F,12-10-81,Zaria
23,,,
24,M,12-10-81,Motherwell
25,F,10-01-81,Middlesbrough
26,D,08-03-79,Newcastle
27,,,
28,G,17-05-70,Kapelle
29,D,12-09-80,Stirling
30,M,15-06-81,Whitehaven
31,F,23-11-66,Clydebank
32,M,15-08-76,Bradford
33,D,03-08-73,Amypeo
34,D,14-10-79,Lyon
35,M,12-04-82,Stirling
36,,,
37,,,
38,F,17-01-81,Dublin
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,08-05-73,Beziers
43,M,07-09-76,Glasgow
44,D,05-10-72,Sault
45,D,02-05-79,Sarcelles
46,D,12-09-75,Bradford
47,,,
