position,age,nationality
Goalkeeper,25.0,Netherlands
Goalkeeper,27.0,Ireland
Goalkeeper,20.0,England
Centre-Back,24.0,France
Centre-Back,31.0,Argentina
Centre-Back,27.0,England
Centre-Back,29.0,England
Centre-Back,20.0,Australia
Centre-Back,17.0,Slovakia
Centre-Back,18.0,England
Left-Back,22.0,Italy
Left-Back,20.0,Mali
Left-Back,21.0,Wales
Right-Back,27.0,France
Right-Back,28.0,England
Right-Back,21.0,England
Defensive Midfield,27.0,Cote d'Ivoire
Defensive Midfield,24.0,Netherlands
Central Midfield,27.0,France
Central Midfield,23.0,France
Central Midfield,29.0,Argentina
Central Midfield,19.0,Burundi
Central Midfield,23.0,England
Central Midfield,23.0,France
Central Midfield,21.0,England
Central Midfield,20.0,Algeria
Attacking Midfield,26.0,France
Attacking Midfield,27.0,Martinique
Attacking Midfield,20.0,Slovenia
Left Winger,27.0,France
Right Winger,24.0,France
Centre-Forward,28.0,Senegal
Centre-Forward,22.0,Netherlands
Centre-Forward,26.0,France
Centre-Forward,21.0,England
Centre-Forward,31.0,Nigeria
Centre-Forward,16.0,England
