position,age,nationality
Goalkeeper,28,England
Goalkeeper,24,England
Goalkeeper,24,England
Goalkeeper,21,England
Centre-Back,29,Scotland
Centre-Back,31,England
Centre-Back,28,Cameroon
Centre-Back,27,Switzerland
Centre-Back,25,England
Left-Back,27,Sweden
Left-Back,19,England
Right-Back,22,England
Right-Back,25,Portugal
Right-Back,31,Scotland
Defensive Midfield,28,DR Congo
Defensive Midfield,29,Norway
Defensive Midfield,20,Wales
Central Midfield,26,Belgium
Central Midfield,28,England
Central Midfield,27,England
Central Midfield,28,Scotland
Central Midfield,32,England
Central Midfield,27,France
Central Midfield,19,Scotland
Right Midfield,26,Jamaica
Left Midfield,23,Ireland
Attacking Midfield,33,Ireland
Attacking Midfield,18,England
Left Winger,21,England
Left Winger,29,England
Left Winger,20,England
Right Winger,20,England
Second Striker,28,Scotland
Centre-Forward,29,DR Congo
Centre-Forward,26,Netherlands
Centre-Forward,27,England
Centre-Forward,27,Jamaica
Centre-Forward,21,England
Centre-Forward,27,Northern Ireland
Centre-Forward,28,England
Centre-Forward,21,Jamaica
