position,age,nationality
Goalkeeper,38.0,England
Goalkeeper,28.0,England
Goalkeeper,22.0,Bosnia-Herzegovina
Goalkeeper,37.0,Finland
Goalkeeper,17.0,England
Centre-Back,31.0,France
Centre-Back,23.0,France
Centre-Back,27.0,Israel
Centre-Back,34.0,Iceland
Centre-Back,28.0,South Africa
Centre-Back,24.0,Serbia
Centre-Back,30.0,Portugal
Centre-Back,35.0,England
Centre-Back,21.0,Ireland
Centre-Back,25.0,England
Centre-Back,17.0,England
Centre-Back,17.0,England
Left-Back,27.0,Algeria
Left-Back,16.0,Germany
Right-Back,33.0,Ireland
Right-Back,21.0,Belgium
Right-Back,19.0,England
Right-Back,17.0,England
Defensive Midfield,31.0,Senegal
Defensive Midfield,30.0,England
Defensive Midfield,33.0,Greece
Defensive Midfield,30.0,Scotland
Defensive Midfield,17.0,France
Central Midfield,25.0,Algeria
Central Midfield,22.0,England
Central Midfield,32.0,England
Central Midfield,18.0,England
Right Midfield,19.0,Scotland
Attacking Midfield,24.0,Croatia
Left Winger,27.0,Nigeria
Left Winger,23.0,Ghana
Left Winger,17.0,France
Left Winger,17.0,Turkey
Second Striker,28.0,Cote d'Ivoire
Centre-Forward,30.0,Martinique
Centre-Forward,24.0,England
Centre-Forward,22.0,Ghana
Centre-Forward,29.0,England
Centre-Forward,32.0,Nigeria
Centre-Forward,27.0,England
