position,age,nationality
Goalkeeper,24,England
Goalkeeper,34,England
Goalkeeper,31,Ireland
Centre-Back,22,England
Centre-Back,27,England
Centre-Back,35,England
Centre-Back,34,Ireland
Centre-Back,35,England
Centre-Back,22,Germany
Left-Back,24,Senegal
Left-Back,20,England
Left-Back,24,"Korea, South"
Left-Back,18,England
Right-Back,26,Chile
Right-Back,27,England
Right-Back,21,Ireland
Right-Back,18,England
Defensive Midfield,25,Brazil
Defensive Midfield,25,Mali
Defensive Midfield,31,England
Central Midfield,24,Netherlands
Central Midfield,22,England
Central Midfield,27,Argentina
Central Midfield,31,England
Central Midfield,21,Wales
Central Midfield,20,Ireland
Central Midfield,18,Montserrat
Central Midfield,18,England
Right Midfield,17,Ireland
Attacking Midfield,25,Morocco
Attacking Midfield,29,Croatia
Left Winger,24,Canada
Right Winger,23,Scotland
Right Winger,32,England
Right Winger,18,Canada
Second Striker,27,Argentina
Second Striker,20,Portugal
Centre-Forward,27,France
Centre-Forward,24,Chile
Centre-Forward,24,England
Centre-Forward,33,England
