position,age,nationality
Goalkeeper,27,Australia
Goalkeeper,31,England
Goalkeeper,22,England
Goalkeeper,23,Denmark
Goalkeeper,18,Scotland
Centre-Back,23,Portugal
Centre-Back,25,Jamaica
Centre-Back,23,Ireland
Centre-Back,30,Latvia
Centre-Back,21,England
Left-Back,31,England
Left-Back,22,England
Left-Back,34,Ireland
Left-Back,18,England
Right-Back,28,Ireland
Right-Back,22,Wales
Right-Back,23,Jamaica
Defensive Midfield,29,Antigua and Barbuda
Defensive Midfield,36,Iceland
Central Midfield,25,England
Central Midfield,23,Turkey
Central Midfield,20,Nigeria
Left Midfield,28,Ireland
Left Winger,30,Jamaica
Left Winger,23,Wales
Right Winger,28,Mali
Right Winger,25,Jamaica
Right Winger,22,England
Centre-Forward,28,Russia
Centre-Forward,29,Ireland
Centre-Forward,25,England
Centre-Forward,23,Wales
Centre-Forward,34,Grenada
Centre-Forward,19,England
Centre-Forward,18,England
