position,age,nationality
Goalkeeper,33.0,Denmark
Goalkeeper,30.0,England
Goalkeeper,22.0,Bosnia-Herzegovina
Goalkeeper,19.0,England
Goalkeeper,16.0,England
Centre-Back,24.0,Germany
Centre-Back,31.0,Senegal
Centre-Back,21.0,England
Centre-Back,28.0,Wales
Centre-Back,30.0,Gibraltar
Centre-Back,29.0,Guyana
Centre-Back,28.0,Senegal
Centre-Back,24.0,England
Left-Back,26.0,England
Left-Back,22.0,England
Right-Back,30.0,England
Right-Back,24.0,England
Right-Back,20.0,England
Midfielder,,Ireland
Defensive Midfield,25.0,Ireland
Defensive Midfield,32.0,Senegal
Defensive Midfield,32.0,Senegal
Defensive Midfield,21.0,Uruguay
Defensive Midfield,18.0,England
Central Midfield,27.0,England
Central Midfield,32.0,Ireland
Central Midfield,22.0,England
Central Midfield,26.0,England
Central Midfield,18.0,Northern Ireland
Left Midfield,27.0,England
Attacking Midfield,27.0,Ireland
Left Winger,27.0,Turkey
Centre-Forward,31.0,England
Centre-Forward,29.0,Jamaica
Centre-Forward,29.0,England
Centre-Forward,29.0,Mali
Centre-Forward,31.0,England
Centre-Forward,17.0,England
