,Pos,Date of Birth,Birth Place
0,G,18-04-67,Chirk
1,D,02-11-70,Bath
2,,,
3,M,03-10-69,Sheffield
4,D,22-02-73,Austevoll
5,D,09-06-74,Bradford
6,M,14-10-68,Guernsey
7,M,17-08-77,Peterborough
8,M,11-11-70,Long Eaton
9,F,26-03-77,Sheffield
10,F,15-11-68,Altenburg
11,D,14-06-69,Stroud
12,G,10-05-75,New Milton
13,M,20-11-67,Middlesbrough
14,D,30-12-68,Southampton
15,F,27-02-78,Lancaster
16,F,05-08-76,Chernevol
17,M,05-08-80,Southampton
18,M,03-03-80,Madeira
19,M,16-06-68,Marraquexe
20,M,28-02-72,Orlandet
21,F,10-01-82,Buenos Aires
22,,,
23,M,22-12-67,Bucharest
24,D,06-03-79,Bedford
25,M,16-08-75,Latvia
26,G,16-09-79,Southampton
27,M,04-11-79,Southampton
28,M,19-04-76,Hammersmith
29,M,19-02-73,Agadir
30,D,13-10-81,Honiton
31,,,
32,D,02-02-79,Southampton
33,,,
34,M,04-08-77,Lisbon
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,Pos,Date of Birth,Birth Place
42,D,04-09-66,Sheffield
43,M,30-12-72,St Albans
44,F,08-12-79,Gloucester
45,F,22-09-82,Ivory Coast
46,D,06-11-65,Brest
47,M,15-02-67,Vass
48,,,
