position,age,nationality
Goalkeeper,23,England
Goalkeeper,31,England
Goalkeeper,29,England
Goalkeeper,24,England
Centre-Back,26,Denmark
Centre-Back,25,England
Centre-Back,23,Poland
Centre-Back,30,Japan
Left-Back,29,England
Left-Back,23,England
Left-Back,24,England
Right-Back,20,France
Defensive Midfield,25,Gabon
Defensive Midfield,27,Spain
Central Midfield,24,England
Central Midfield,23,Denmark
Central Midfield,27,Scotland
Central Midfield,34,Northern Ireland
Central Midfield,24,England
Attacking Midfield,23,England
Left Winger,25,England
Left Winger,24,Norway
Right Winger,22,England
Centre-Forward,26,England
Centre-Forward,29,England
Centre-Forward,32,Ireland
Centre-Forward,23,England
Centre-Forward,18,Ireland
