position,age,nationality
Goalkeeper,34.0,Denmark
Goalkeeper,23.0,Bosnia-Herzegovina
Goalkeeper,36.0,England
Centre-Back,22.0,England
Centre-Back,25.0,Germany
Centre-Back,29.0,Wales
Centre-Back,32.0,Senegal
Centre-Back,31.0,Gibraltar
Centre-Back,22.0,Ireland
Centre-Back,25.0,England
Centre-Back,29.0,Senegal
Left-Back,27.0,England
Left-Back,23.0,England
Right-Back,25.0,England
Right-Back,21.0,England
Defensive Midfield,26.0,Ireland
Defensive Midfield,33.0,Senegal
Defensive Midfield,22.0,Uruguay
Central Midfield,28.0,England
Central Midfield,33.0,Ireland
Central Midfield,23.0,England
Central Midfield,27.0,England
Central Midfield,19.0,Northern Ireland
Right Midfield,19.0,England
Left Midfield,28.0,England
Left Winger,28.0,Turkey
Right Winger,27.0,England
Right Winger,26.0,Ireland
Centre-Forward,25.0,Trinidad and Tobago
Centre-Forward,30.0,Norway
Centre-Forward,31.0,Iceland
Centre-Forward,30.0,Jamaica
Centre-Forward,30.0,Mali
