,Pos,Date of Birth,Birth Place
0,G,12-06-76,Fredericia
1,D,30-07-70,Saint-Brieuc
2,D,03-08-74,Sunderland
3,M,09-05-71,Gateshead
4,,,
5,,,
6,,,
7,M,10-01-78,Blackpool
8,F,06-10-66,Dublin
9,F,25-07-73,Hitchin
10,M,01-02-77,Preston
11,F,19-10-74,Hammersmith
12,,,
13,,,
14,M,20-05-76,Hillesod
15,M,30-09-69,Glasgow
16,D,25-07-75,Bromsgrove
17,D,28-04-77,Middlesbrough
18,,,
19,M,18-04-69,Malmo
20,M,13-02-79,Newcastle
21,M,04-11-77,Warrington
22,M,15-12-79,Newcastle
23,D,29-04-81,Belfast
24,D,26-01-81,Newcastle
25,M,25-04-81,Ballymun
26,F,24-03-80,Graignamanagh
27,M,08-12-78,Boston
28,M,25-09-78,Bornem
29,G,24-08-77,Vienna
30,F,31-10-72,La Ceiba
31,D,08-10-72,Lipany
32,D,30-01-81,Quimes
33,F,07-06-81,Stranraer
34,,,
35,D,30-03-72,Porto Alegre
36,M,22-03-81,Dublin
37,D,24-01-83,Shotley Bridge
38,G,30-11-80,Rotherham
39,G,09-07-80,Preston
40,,,
41,Pos,Date of Birth,Birth Place
42,D,16-11-62,Stoke
43,D,03-10-77,Bishop Auckland
44,D,21-04-65,Herford
45,M,26-08-71,Altrincham
46,D,02-11-72,Manchester
47,M,26-09-67,Nice
48,D,08-05-73,Manchester
49,G,11-10-70,Sutton-in-Ashfield
50,,,
