position,age,nationality
Goalkeeper,28,Romania
Goalkeeper,27,Italy
Goalkeeper,21,England
Goalkeeper,40,England
Goalkeeper,18,Poland
Centre-Back,29,France
Centre-Back,26,Cote d'Ivoire
Centre-Back,28,France
Centre-Back,24,Uruguay
Centre-Back,34,Ireland
Centre-Back,35,England
Left-Back,24,Netherlands
Left-Back,19,England
Right-Back,23,Wales
Right-Back,21,United States
Right-Back,28,England
Right-Back,17,England
Defensive Midfield,24,England
Defensive Midfield,25,France
Defensive Midfield,27,England
Defensive Midfield,26,Scotland
Defensive Midfield,24,Germany
Defensive Midfield,19,Australia
Central Midfield,30,Sweden
Central Midfield,30,Spain
Left Midfield,30,Italy
Attacking Midfield,24,Tunisia
Attacking Midfield,20,England
Left Winger,24,Italy
Left Winger,18,England
Right Winger,27,Netherlands
Right Winger,27,England
Right Winger,25,England
Right Winger,21,Greece
Right Winger,21,England
Right Winger,19,United States
Centre-Forward,30,Senegal
Centre-Forward,32,England
Centre-Forward,28,Scotland
Centre-Forward,28,Sweden
Centre-Forward,29,England
Centre-Forward,20,Scotland
