position,age,nationality
Goalkeeper,29,Poland
Goalkeeper,35,Germany
Goalkeeper,23,Wales
Centre-Back,29,Wales
Centre-Back,25,Argentina
Centre-Back,22,Spain
Centre-Back,31,England
Centre-Back,23,England
Left-Back,25,Wales
Left-Back,19,Scotland
Left-Back,20,St. Kitts & Nevis
Right-Back,25,England
Right-Back,31,Spain
Right-Back,28,Netherlands
Right-Back,23,Wales
Right-Back,19,Wales
Defensive Midfield,25,"Korea, South"
Defensive Midfield,25,England
Central Midfield,22,England
Central Midfield,31,England
Central Midfield,22,England
Central Midfield,20,Scotland
Central Midfield,18,Scotland
Central Midfield,19,Wales
Central Midfield,18,England
Attacking Midfield,24,Iceland
Left Winger,29,England
Left Winger,24,Ecuador
Right Winger,26,England
Right Winger,21,The Gambia
Right Winger,19,Curacao
Centre-Forward,25,Cote d'Ivoire
Centre-Forward,28,France
Centre-Forward,22,Portugal
Centre-Forward,26,Netherlands
Centre-Forward,22,Northern Ireland
