
#,Club,Club,Competición,Gastos,Altas,Ingresos,Bajas,Balance
1,,Chelsea FC,Premier League,"2,44 mil mill. €",897,"1,28 mil mill. €",862,"-1.158,44 mill. €"
2,,Manchester City,Premier League,"2,26 mil mill. €",868,"710,63 mill. €",853,"-1.553,96 mill. €"
3,,Manchester United,Premier League,"2,00 mil mill. €",726,"779,74 mill. €",708,"-1.216,50 mill. €"
4,,Liverpool FC,Premier League,"1,73 mil mill. €",731,"1,10 mil mill. €",697,"-635,10 mill. €"
5,,Tottenham Hotspur,Premier League,"1,45 mil mill. €",801,"915,52 mill. €",785,"-529,88 mill. €"
6,,Arsenal FC,Premier League,"1,34 mil mill. €",701,"780,10 mill. €",681,"-564,85 mill. €"
7,,Everton FC,Premier League,"1,07 mil mill. €",684,"661,77 mill. €",674,"-411,22 mill. €"
8,,Newcastle United,Premier League,"994,75 mill. €",765,"652,31 mill. €",741,"-342,44 mill. €"
9,,Aston Villa,Premier League,"898,83 mill. €",763,"415,78 mill. €",753,"-483,05 mill. €"
10,,West Ham United,Premier League,"847,93 mill. €",793,"567,31 mill. €",769,"-280,61 mill. €"
11,,Leicester City,Premier League,"653,48 mill. €",811,"450,77 mill. €",800,"-202,72 mill. €"
12,,Southampton FC,Premier League,"651,03 mill. €",776,"614,84 mill. €",762,"-36,19 mill. €"
13,,AFC Sunderland,League One,"562,69 mill. €",848,"322,20 mill. €",836,"-240,49 mill. €"
14,,Fulham FC,Premier League,"551,27 mill. €",824,"251,58 mill. €",799,"-299,69 mill. €"
15,,Wolverhampton Wanderers,Premier League,"550,51 mill. €",887,"254,29 mill. €",869,"-296,22 mill. €"
16,,FC Middlesbrough,Championship,"480,35 mill. €",744,"331,77 mill. €",738,"-148,57 mill. €"
17,,West Bromwich Albion,Premier League,"417,34 mill. €",684,"228,13 mill. €",665,"-189,21 mill. €"
18,,Leeds United,Premier League,"409,63 mill. €",861,"311,49 mill. €",843,"-98,13 mill. €"
19,,Stoke City,Championship,"382,47 mill. €",763,"146,37 mill. €",736,"-236,10 mill. €"
20,,Crystal Palace,Premier League,"375,66 mill. €",790,"270,56 mill. €",774,"-105,10 mill. €"
21,,Watford FC,Championship,"358,32 mill. €",809,"293,63 mill. €",784,"-64,69 mill. €"
22,,Blackburn Rovers,Championship,"331,32 mill. €",810,"366,88 mill. €",794,"35,55 mill. €"
23,,Brighton & Hove Albion,Premier League,"298,00 mill. €",760,"77,92 mill. €",718,"-220,09 mill. €"
24,,AFC Bournemouth,Championship,"289,80 mill. €",624,"184,28 mill. €",605,"-105,52 mill. €"
25,,Swansea City,Championship,"273,43 mill. €",614,"357,32 mill. €",606,"83,89 mill. €"
