,Pos,Date of Birth,Birth Place
0,G,31-10-71,Watford
1,D,29-08-76,Dublin
2,D,10-03-73,Buenos Aires
3,M,19-01-70,Brandenburg
4,D,18-09-74,Newham
5,D,26-04-73,Carshalton
6,M,03-03-72,Southampton
7,M,02-02-69,St Albans
8,F,18-12-66,Acton
9,F,10-11-76,Oslo
10,F,03-06-74,Gorlovka
11,D,31-01-80,Donegal
12,G,24-02-70,Sutton
13,,,
14,M,21-01-75,Boxtel
15,F,19-06-71,Newcastle
16,M,17-08-70,Kristiansund
17,D,30-11-75,Swindon
18,,,
19,,,
20,D,19-07-79,Harlow
21,,,
22,,,
23,G,30-10-61,Eindhoven
24,M,31-03-78,Liverpool
25,D,12-10-80,London
26,F,02-11-77,Westminster
27,M,14-08-81,Truro
28,M,23-10-79,Haverfordwest
29,D,19-09-80,Staffordshire
30,D,05-09-80,London
31,,,
32,,,
33,,,
34,F,18-01-77,Edmonton
35,D,26-12-79,Neath
36,F,18-09-79,Forest Gate
37,M,06-03-82,Rome
38,G,03-06-81,Hammersmith
39,M,30-06-81,Craigavon
40,M,15-08-82,Camden
41,F,05-10-82,St Pol-sur-Mer
42,F,01-04-82,Dunfermline
43,,,
44,Pos,Date of Birth,Birth Place
45,M,14-01-68,Ipswich
46,M,16-02-74,Lisbon
47,D,14-06-71,Olten
48,M,05-10-78,Edmonton
49,F,06-12-73,Huddersfield
50,,,
