position,age,nationality
Goalkeeper,29.0,Brazil
Goalkeeper,31.0,Croatia
Goalkeeper,36.0,Italy
Goalkeeper,23.0,England
Goalkeeper,21.0,England
Centre-Back,32.0,France
Centre-Back,24.0,Croatia
Centre-Back,29.0,England
Centre-Back,23.0,Cameroon
Centre-Back,30.0,England
Centre-Back,26.0,England
Centre-Back,24.0,France
Centre-Back,23.0,South Africa
Centre-Back,18.0,England
Left-Back,26.0,Cameroon
Left-Back,19.0,England
Right-Back,25.0,Scotland
Right-Back,21.0,England
Right-Back,20.0,England
Defensive Midfield,25.0,Honduras
Defensive Midfield,23.0,England
Defensive Midfield,21.0,Brazil
Defensive Midfield,20.0,England
Central Midfield,24.0,Croatia
Central Midfield,27.0,England
Central Midfield,18.0,Trinidad and Tobago
Right Midfield,25.0,England
Attacking Midfield,27.0,Netherlands
Attacking Midfield,25.0,Croatia
Left Winger,28.0,South Africa
Right Winger,23.0,England
Right Winger,20.0,Wales
Right Winger,18.0,England
Second Striker,21.0,Mexico
Centre-Forward,27.0,England
Centre-Forward,29.0,Ireland
Centre-Forward,29.0,England
Centre-Forward,28.0,Russia
