position,age,nationality
Goalkeeper,28,Romania
Goalkeeper,27,Lithuania
Goalkeeper,34,Brazil
Goalkeeper,28,Ireland
Goalkeeper,20,England
Centre-Back,29,Uruguay
Centre-Back,28,Austria
Centre-Back,26,Algeria
Centre-Back,26,Italy
Centre-Back,20,Netherlands
Centre-Back,26,Sweden
Centre-Back,26,Northern Ireland
Centre-Back,21,Ireland
Left-Back,31,Greece
Left-Back,29,Czech Republic
Right-Back,27,Cameroon
Right-Back,27,Mexico
Right-Back,27,Ecuador
Defensive Midfield,26,France
Defensive Midfield,30,Switzerland
Central Midfield,28,Spain
Central Midfield,28,Switzerland
Central Midfield,29,England
Central Midfield,29,Algeria
Central Midfield,21,Ireland
Central Midfield,22,Ireland
Left Midfield,27,Scotland
Left Midfield,32,England
Attacking Midfield,29,Spain
Left Winger,28,Morocco
Right Winger,23,Netherlands
Second Striker,25,Colombia
Second Striker,32,Italy
Second Striker,25,Italy
Centre-Forward,27,England
Centre-Forward,19,Belgium
Centre-Forward,23,Czech Republic
Centre-Forward,26,Nigeria
Centre-Forward,20,England
