position,age,nationality
Goalkeeper,29,Romania
Goalkeeper,28,Lithuania
Goalkeeper,35,Brazil
Goalkeeper,29,Ireland
Centre-Back,25,Belgium
Centre-Back,29,Austria
Centre-Back,27,Northern Ireland
Centre-Back,30,Uruguay
Centre-Back,30,France
Centre-Back,29,Jamaica
Centre-Back,22,Ireland
Centre-Back,18,England
Left-Back,32,Greece
Left-Back,18,England
Right-Back,26,Netherlands
Right-Back,28,Cameroon
Right-Back,28,Ecuador
Right-Back,30,Colombia
Right-Back,18,England
Midfielder,19,England
Defensive Midfield,27,France
Defensive Midfield,28,Belgium
Defensive Midfield,25,Cote d'Ivoire
Defensive Midfield,31,Switzerland
Central Midfield,26,England
Central Midfield,29,Spain
Central Midfield,23,France
Central Midfield,30,England
Central Midfield,30,Algeria
Left Midfield,25,Argentina
Left Midfield,20,Brazil
Left Midfield,28,Scotland
Forward,18,England
Left Winger,29,Morocco
Left Winger,20,Nigeria
Left Winger,17,England
Right Winger,24,Netherlands
Second Striker,29,Argentina
Centre-Forward,27,Nigeria
Centre-Forward,21,Senegal
Centre-Forward,28,England
Centre-Forward,26,Italy
Centre-Forward,20,Belgium
Centre-Forward,24,Czech Republic
Centre-Forward,32,Sweden
Centre-Forward,19,England
