position,age,nationality
Goalkeeper,22,England
Goalkeeper,37,Ireland
Goalkeeper,16,England
Centre-Back,27,Cote d'Ivoire
Centre-Back,22,England
Centre-Back,21,Netherlands
Centre-Back,29,England
Centre-Back,30,Cape Verde
Centre-Back,25,Sweden
Centre-Back,29,England
Centre-Back,25,Curacao
Centre-Back,16,England
Left-Back,25,Slovakia
Right-Back,29,Belgium
Defensive Midfield,22,Netherlands
Defensive Midfield,21,DR Congo
Central Midfield,29,England
Central Midfield,23,Spain
Central Midfield,22,Scotland
Central Midfield,25,"Korea, South"
Central Midfield,21,Scotland
Left Midfield,23,Northern Ireland
Attacking Midfield,27,Slovenia
Attacking Midfield,16,St. Kitts & Nevis
Right Winger,27,Portugal
Second Striker,24,Argentina
Centre-Forward,26,French Guiana
Centre-Forward,22,England
Centre-Forward,24,Scotland
Centre-Forward,26,Poland
Centre-Forward,21,England
Centre-Forward,25,Czech Republic
Centre-Forward,23,Netherlands
Centre-Forward,16,New Zealand
Centre-Forward,19,England
