,Pos,Date of Birth,Birth Place
0,G,22-02-69,Hackney
1,D,13-04-70,London
2,D,24-04-62,Shepherd's Bush
3,D,07-05-67,Hartford [USA]
4,D,06-09-67,Metkovic
5,D,23-06-77,Sydney
6,D,23-10-73,Dundee
7,M,02-03-72,Dulwich
8,F,01-01-68,Osijek
9,F,09-07-68,Rome
10,M,18-01-74,Hanover
11,F,09-01-71,Murton
12,,,
13,F,02-09-77,Sainte-Foy-le-Grande
14,D,01-07-76,Nkanglicock
15,M,22-09-66,Mile End
16,D,11-12-63,Coventry
17,M,20-06-78,Romford
18,D,07-05-74,Bury St Edmunds
19,D,06-08-71,Cheshire
20,M,28-07-81,Wallsend
21,G,20-09-67,Vancouver
22,D,04-12-80,Ascot
23,M,05-10-77,Paris
24,F,16-12-75,Toulon
25,M,08-11-81,North London
26,M,21-01-81,Taplow
27,,,
28,F,17-11-72,Donka
29,D,02-06-75,Nancy
30,F,09-11-79,Enfield
31,G,07-06-81,Manchester
32,D,17-08-81,Southwark
33,D,16-09-80,Westminster
34,F,07-10-82,Reckton
35,D,10-11-79,Stavanger
36,F,30-08-78,Dobrich
37,,,
38,D,14-05-82,East London
39,,,
40,M,14-04-80,Belfast
41,,,
42,Pos,Date of Birth,Birth Place
43,D,03-02-68,Bristol
44,D,08-11-78,Peckham
45,M,14-01-68,Colmar
46,D,10-05-69,Santiago
47,M,16-09-79,Basildon
48,G,15-09-79,Epping
49,D,01-07-76,Keminmaa
50,M,22-04-83,Mariehamn
51,,,
