position,age,nationality
Goalkeeper,34,Poland
Goalkeeper,32,Spain
Centre-Back,22,France
Centre-Back,27,Paraguay
Centre-Back,31,Italy
Centre-Back,30,New Zealand
Left-Back,29,England
Left-Back,25,DR Congo
Right-Back,25,England
Right-Back,34,Argentina
Right-Back,26,England
Defensive Midfield,20,England
Defensive Midfield,33,Colombia
Central Midfield,27,England
Central Midfield,27,Equatorial Guinea
Central Midfield,32,England
Central Midfield,23,Ireland
Central Midfield,23,England
Attacking Midfield,26,Argentina
Attacking Midfield,31,France
Left Winger,26,Brazil
Right Winger,29,Ukraine
Right Winger,29,England
Right Winger,31,Scotland
Right Winger,21,England
Centre-Forward,30,Austria
Centre-Forward,31,Mexico
Centre-Forward,27,England
Centre-Forward,30,England
Centre-Forward,30,Spain
