position,age,nationality
Goalkeeper,28.0,England
Goalkeeper,25.0,Serbia
Goalkeeper,31.0,Ghana
Goalkeeper,37.0,England
Goalkeeper,16.0,England
Centre-Back,27.0,Scotland
Centre-Back,29.0,Austria
Centre-Back,27.0,England
Centre-Back,28.0,Cote d'Ivoire
Centre-Back,26.0,Spain
Left-Back,26.0,Honduras
Left-Back,30.0,Sweden
Left-Back,18.0,England
Right-Back,32.0,Netherlands
Right-Back,29.0,Barbados
Defensive Midfield,26.0,"Korea, South"
Defensive Midfield,21.0,Poland
Defensive Midfield,24.0,Honduras
Central Midfield,32.0,England
Central Midfield,23.0,England
Central Midfield,24.0,Spain
Central Midfield,18.0,Ireland
Central Midfield,22.0,Senegal
Right Midfield,19.0,Poland
Left Midfield,20.0,England
Left Midfield,25.0,Netherlands
Attacking Midfield,29.0,Wales
Attacking Midfield,28.0,France
Left Winger,25.0,Netherlands
Right Winger,23.0,France
Right Winger,18.0,Nigeria
Right Winger,18.0,England
Centre-Forward,22.0,Bolivia
Centre-Forward,23.0,Colombia
Centre-Forward,29.0,Jamaica
Centre-Forward,30.0,Trinidad and Tobago
