position,age,nationality
Goalkeeper,23.0,Wales
Goalkeeper,38.0,United States
Goalkeeper,24.0,Nigeria
Goalkeeper,35.0,Brazil
Centre-Back,26.0,Belgium
Centre-Back,25.0,Scotland
Centre-Back,22.0,England
Centre-Back,24.0,Cameroon
Centre-Back,34.0,England
Centre-Back,25.0,England
Centre-Back,22.0,England
Centre-Back,24.0,Guadeloupe
Centre-Back,23.0,France
Centre-Back,19.0,England
Centre-Back,17.0,England
Centre-Back,18.0,Ireland
Left-Back,24.0,Ireland
Left-Back,19.0,England
Right-Back,25.0,Ireland
Right-Back,18.0,Ireland
Defensive Midfield,27.0,England
Central Midfield,27.0,Serbia
Central Midfield,23.0,England
Central Midfield,24.0,Wales
Central Midfield,25.0,England
Central Midfield,24.0,Algeria
Central Midfield,19.0,England
Central Midfield,17.0,England
Left Midfield,28.0,Ireland
Left Midfield,19.0,England
Left Winger,24.0,England
Left Winger,24.0,England
Right Winger,20.0,Belgium
Right Winger,22.0,England
Centre-Forward,26.0,Ireland
Centre-Forward,23.0,Scotland
Centre-Forward,24.0,England
Centre-Forward,24.0,Ireland
Centre-Forward,32.0,England
Centre-Forward,19.0,Scotland
Centre-Forward,20.0,Wales
Centre-Forward,19.0,England
